,step,episode reward,accuracy,100 eps mean,time
291,23015.0,160.0,98.61,171.7,1801.270000
292,23470.0,453.0,98.63,176.0,1840.320000
293,23495.0,23.0,98.63,175.4,1842.490000
294,23566.0,69.0,98.63,175.0,1849.600000
295,24249.0,681.0,98.67,179.6,1901.410000
296,24566.0,315.0,98.68,180.8,1927.950000
297,24657.0,89.0,98.68,180.8,1934.510000
298,24783.0,124.0,98.68,176.7,1943.480000
299,25235.0,450.0,98.7,181.1,1975.860000
300,25551.0,314.0,98.72,180.2,1998.580000
301,25689.0,136.0,98.72,181.3,2008.450000
302,26388.0,697.0,98.75,188.0,2058.680000
303,26467.0,77.0,98.75,186.3,2064.300000
304,27093.0,624.0,98.78,191.6,2109.490000
305,27856.0,761.0,98.81,195.9,2164.480000
306,28033.0,175.0,98.81,197.1,2177.260000
307,28214.0,179.0,98.82,193.8,2190.270000
308,28814.0,598.0,98.84,198.4,2233.420000
309,29087.0,271.0,98.85,200.4,2253.000000
310,29204.0,115.0,98.85,199.6,2261.380000
311,29352.0,146.0,98.85,200.2,2271.980000
312,30519.0,1165.0,98.9,209.9,2355.990000
313,30878.0,357.0,98.91,213.0,2381.640000
314,31276.0,396.0,98.92,215.1,2410.320000
315,31479.0,201.0,98.92,214.4,2424.970000
316,32978.0,1497.0,98.97,228.1,2532.760000
317,33488.0,508.0,98.98,231.8,2569.380000
318,33650.0,160.0,98.98,233.3,2580.930000
319,33766.0,114.0,98.98,234.4,2589.250000
320,33860.0,92.0,98.98,234.2,2595.950000
321,34140.0,278.0,98.99,236.9,2616.000000
322,34388.0,246.0,98.99,239.3,2633.870000
323,34565.0,175.0,99.0,240.8,2646.660000
324,36033.0,1466.0,99.04,255.4,2752.260000
325,36373.0,338.0,99.04,257.6,2776.760000
326,36720.0,345.0,99.05,260.9,2801.690000
327,37420.0,698.0,99.07,266.1,2852.060000
328,37494.0,72.0,99.07,264.8,2857.400000
329,38078.0,582.0,99.08,270.6,2899.480000
330,38217.0,137.0,99.08,271.7,2909.490000
331,38354.0,135.0,99.08,272.1,2919.410000
332,39238.0,882.0,99.1,279.7,2982.980000
333,39555.0,315.0,99.1,281.6,3005.770000
334,40167.0,610.0,99.11,287.1,3049.620000
335,41071.0,902.0,99.13,293.8,3114.650000
336,41897.0,824.0,99.15,301.4,3174.060000
337,42254.0,355.0,99.15,304.4,3199.730000
338,42516.0,260.0,99.16,306.7,3218.600000
339,45234.0,2716.0,99.21,333.3,3413.870000
340,45486.0,250.0,99.21,334.5,3432.000000
341,46061.0,573.0,99.22,337.5,3473.270000
342,46524.0,461.0,99.22,339.7,3506.600000
343,46788.0,262.0,99.22,342.2,3525.550000
344,46976.0,186.0,99.23,342.7,3539.100000
345,48810.0,1832.0,99.25,360.6,3670.970000
346,52063.0,3251.0,99.3,392.7,3905.240000
347,52098.0,33.0,99.3,392.3,3907.790000
348,53586.0,1486.0,99.32,406.2,4014.720000
349,53714.0,126.0,99.32,406.8,4023.910000
350,55546.0,1830.0,99.34,421.5,4155.890000
351,55619.0,71.0,99.34,420.3,4161.130000
352,56197.0,576.0,99.34,425.4,4202.740000
353,56500.0,301.0,99.34,426.4,4224.600000
354,56940.0,438.0,99.35,430.4,4256.240000
355,57088.0,146.0,99.35,431.5,4266.930000
356,57097.0,7.0,99.35,431.4,4267.560000
357,57249.0,150.0,99.35,432.9,4278.470000
358,59203.0,1952.0,99.37,447.3,4418.850000
359,60316.0,1111.0,99.38,454.8,4498.760000
360,60473.0,155.0,99.38,450.2,4510.010000
361,61149.0,674.0,99.38,454.8,4558.610000
362,61999.0,848.0,99.39,461.8,4619.820000
363,62832.0,831.0,99.4,468.8,4679.780000
364,62998.0,164.0,99.4,470.4,4691.760000
365,63223.0,223.0,99.4,471.0,4707.960000
366,63709.0,484.0,99.4,474.7,4743.000000
367,63879.0,168.0,99.4,473.2,4755.220000
368,64374.0,493.0,99.4,477.1,4790.790000
369,64426.0,50.0,99.4,474.5,4794.490000
370,64522.0,94.0,99.4,473.1,4801.480000
371,65580.0,1056.0,99.41,482.4,4877.720000
372,66102.0,520.0,99.41,484.7,4915.210000
373,66301.0,197.0,99.41,483.1,4929.550000
374,66550.0,247.0,99.41,485.0,4947.510000
375,66751.0,199.0,99.41,473.0,4961.930000
376,66962.0,209.0,99.41,473.8,4977.090000
377,67084.0,120.0,99.41,468.4,4985.860000
378,67183.0,97.0,99.41,468.4,4992.970000
379,67704.0,519.0,99.42,466.5,5030.570000
380,67875.0,169.0,99.42,468.1,5042.850000
381,67932.0,55.0,99.41,467.2,5046.890000
382,73568.0,5634.0,99.46,523.3,5452.050000
383,73654.0,84.0,99.46,521.3,5458.260000
384,73913.0,257.0,99.46,519.1,5476.980000
385,74476.0,561.0,99.46,522.7,5517.540000
386,74763.0,285.0,99.46,521.0,5538.220000
387,75020.0,255.0,99.46,521.9,5556.760000
388,76020.0,998.0,99.47,531.1,5628.500000
389,76116.0,94.0,99.47,531.3,5635.380000
390,76157.0,39.0,99.47,531.0,5638.280000
391,76755.0,596.0,99.47,535.4,5681.190000
392,76887.0,130.0,99.47,532.2,5690.640000
393,77466.0,577.0,99.47,537.7,5732.110000
394,78288.0,820.0,99.48,545.2,5790.990000
395,78831.0,541.0,99.48,543.8,5830.210000
396,79053.0,220.0,99.48,542.9,5846.190000
397,79558.0,503.0,99.48,547.0,5882.520000
398,80066.0,506.0,99.48,550.8,5919.020000
399,80105.0,37.0,99.48,546.7,5921.820000
400,80117.0,10.0,99.48,543.7,5922.670000
401,80208.0,89.0,99.48,543.2,5929.190000
402,80257.0,47.0,99.48,536.7,5932.710000
403,81392.0,1133.0,99.49,547.2,6014.170000
404,81697.0,303.0,99.49,544.0,6036.090000
405,81715.0,16.0,99.49,536.6,6037.400000
406,82188.0,471.0,99.49,539.6,6071.390000
407,82775.0,585.0,99.49,543.6,6113.500000
408,82892.0,115.0,99.49,538.8,6121.850000
409,84101.0,1207.0,99.5,548.1,6208.730000
410,84264.0,161.0,99.5,548.6,6220.500000
411,84602.0,336.0,99.5,550.5,6244.790000
412,85518.0,914.0,99.5,548.0,6310.590000
413,85702.0,182.0,99.5,546.2,6323.810000
414,86318.0,614.0,99.5,548.4,6368.020000
415,87741.0,1421.0,99.51,560.6,6480.820000
416,88897.0,1154.0,99.51,557.2,6578.040000
417,89114.0,215.0,99.52,554.3,6596.960000
418,89320.0,204.0,99.51,554.7,6617.030000
419,89692.0,370.0,99.52,557.3,6649.010000
420,89950.0,256.0,99.52,558.9,6670.630000
421,90365.0,413.0,99.52,560.2,6706.480000
422,90843.0,476.0,99.52,562.6,6746.970000
423,92078.0,1233.0,99.52,573.1,6852.120000
424,92115.0,35.0,99.52,558.8,6855.000000
425,92810.0,693.0,99.53,562.4,6914.700000
426,93048.0,236.0,99.53,561.3,6936.160000
427,93215.0,165.0,99.53,556.0,6951.370000
428,93782.0,565.0,99.53,560.9,7002.660000
429,94629.0,845.0,99.53,563.5,7074.810000
430,94753.0,122.0,99.53,563.4,7085.100000
431,94984.0,229.0,99.53,564.3,7104.680000
432,95404.0,418.0,99.53,559.7,7140.340000
433,96482.0,1076.0,99.54,567.3,7232.000000
434,96595.0,111.0,99.54,562.3,7241.530000
435,97128.0,531.0,99.54,558.6,7286.920000
436,99313.0,2183.0,99.55,572.2,7472.280000
437,99576.0,261.0,99.55,571.2,7494.720000
