,episode steps,episode reward,accuracy
416,23316,-50.0,98.21
417,23383,-34.0,98.21
418,23661,177.0,98.23
419,24007,245.0,98.25
420,24133,25.0,98.26
421,24249,15.0,98.26
422,24280,-70.0,98.26
423,24292,-89.0,98.25
424,24304,-89.0,98.25
425,24305,-100.0,98.25
426,24360,-46.0,98.25
427,24597,136.0,98.26
428,24830,132.0,98.27
429,24862,-69.0,98.27
430,24875,-88.0,98.27
431,25000,24.0,98.27
432,25041,-60.0,98.27
433,25042,-100.0,98.27
434,25054,-89.0,98.26
435,25241,86.0,98.27
436,25252,-90.0,98.27
437,25272,-81.0,98.27
438,25334,-39.0,98.27
439,25343,-92.0,98.26
440,25408,-36.0,98.26
441,25461,-48.0,98.26
442,25465,-97.0,98.26
443,25538,-28.0,98.26
444,25856,217.0,98.28
445,25880,-77.0,98.28
446,25917,-64.0,98.28
447,25918,-100.0,98.27
448,25971,-48.0,98.27
449,26044,-28.0,98.27
450,26157,12.0,98.28
451,26332,74.0,98.28
452,26378,-55.0,98.28
453,26606,127.0,98.29
454,26864,157.0,98.31
455,26914,-51.0,98.31
456,26991,-24.0,98.31
457,27084,-8.0,98.31
458,27087,-98.0,98.31
459,27344,156.0,98.32
460,27381,-64.0,98.32
461,27590,108.0,98.33
462,27636,-55.0,98.32
463,27721,-16.0,98.33
464,27923,101.0,98.33
465,27944,-80.0,98.33
466,28111,66.0,98.34
467,28201,-11.0,98.34
468,28345,43.0,98.35
469,29436,990.0,98.4
470,29696,159.0,98.41
471,29819,22.0,98.42
472,29870,-50.0,98.42
473,29880,-91.0,98.41
474,30007,26.0,98.42
475,30144,36.0,98.42
476,30172,-73.0,98.42
477,30245,-28.0,98.42
478,30270,-76.0,98.42
479,30272,-99.0,98.41
480,30305,-68.0,98.41
481,30425,19.0,98.42
482,30542,16.0,98.42
483,30543,-100.0,98.42
484,30741,97.0,98.42
485,30751,-91.0,98.42
486,30764,-88.0,98.42
487,30954,89.0,98.42
488,31089,34.0,98.43
489,31135,-55.0,98.43
490,31238,2.0,98.43
491,31320,-19.0,98.43
492,31857,436.0,98.45
493,31884,-74.0,98.45
494,31967,-18.0,98.45
495,32156,88.0,98.46
496,32514,257.0,98.47
497,32517,-98.0,98.47
498,32518,-100.0,98.47
499,32519,-100.0,98.46
500,32625,5.0,98.46
501,32627,-99.0,98.46
502,32860,132.0,98.47
503,32968,7.0,98.47
504,33183,114.0,98.48
505,33231,-53.0,98.48
506,33240,-92.0,98.47
507,33390,49.0,98.48
508,33395,-96.0,98.48
509,33531,35.0,98.48
510,33774,142.0,98.49
511,33880,5.0,98.49
512,34124,143.0,98.5
513,34125,-100.0,98.49
514,34363,137.0,98.5
515,34437,-27.0,98.5
516,34438,-100.0,98.5
517,34463,-76.0,98.5
518,34578,14.0,98.5
519,34873,194.0,98.51
520,34985,11.0,98.51
521,35095,9.0,98.51
522,35097,-99.0,98.51
523,35137,-61.0,98.51
524,35185,-53.0,98.51
525,35430,144.0,98.52
526,35530,-1.0,98.52
527,35568,-63.0,98.52
528,35723,54.0,98.52
529,36394,570.0,98.54
530,36498,3.0,98.55
531,36647,48.0,98.55
532,36868,120.0,98.55
533,37030,61.0,98.56
534,37054,-77.0,98.56
535,37076,-79.0,98.55
536,37150,-27.0,98.55
537,37369,118.0,98.56
538,37381,-89.0,98.56
539,37471,-11.0,98.56
540,37727,155.0,98.57
541,37759,-69.0,98.56
542,37798,-62.0,98.56
543,37857,-42.0,98.56
544,38062,104.0,98.57
545,38112,-51.0,98.57
546,38159,-54.0,98.57
547,38165,-95.0,98.56
548,38437,171.0,98.57
549,38454,-84.0,98.57
550,38494,-61.0,98.57
551,38575,-20.0,98.57
552,38614,-62.0,98.57
553,38641,-74.0,98.57
554,38853,111.0,98.57
555,38898,-56.0,98.57
556,39486,487.0,98.59
557,39585,-2.0,98.59
558,39673,-13.0,98.59
559,39966,192.0,98.6
560,39971,-96.0,98.6
561,39972,-100.0,98.59
562,40071,-2.0,98.59
563,40072,-100.0,98.59
564,40104,-69.0,98.59
565,40656,451.0,98.61
566,40668,-89.0,98.61
567,41037,268.0,98.62
568,41127,-11.0,98.62
569,41144,-84.0,98.61
570,41294,49.0,98.62
571,41388,-7.0,98.62
572,41461,-28.0,98.62
573,41805,243.0,98.63
574,41827,-79.0,98.63
575,42287,359.0,98.64
576,42411,23.0,98.64
577,42574,62.0,98.64
578,42775,100.0,98.65
579,42800,-76.0,98.64
580,42949,48.0,98.65
581,42971,-79.0,98.65
582,43007,-65.0,98.64
583,43070,-38.0,98.64
584,43071,-100.0,98.64
585,43085,-87.0,98.64
586,43086,-100.0,98.64
587,43145,-42.0,98.64
588,43162,-84.0,98.64
589,43177,-86.0,98.63
590,43245,-33.0,98.63
591,43330,-16.0,98.63
