,step,episode reward,accuracy,100 eps mean,time
289,21535.0,39.0,98.51,124.6,3245.070000
290,21546.0,9.0,98.51,124.2,3246.770000
291,21557.0,9.0,98.5,123.0,3248.410000
292,21761.0,202.0,98.51,122.8,3279.440000
293,21879.0,116.0,98.52,123.6,3297.350000
294,21925.0,44.0,98.51,123.7,3304.340000
295,22024.0,97.0,98.52,124.4,3319.190000
296,22059.0,33.0,98.51,123.4,3324.470000
297,22072.0,11.0,98.51,122.1,3326.430000
298,22101.0,27.0,98.51,121.7,3330.810000
299,22143.0,40.0,98.5,120.1,3337.100000
300,22231.0,86.0,98.5,120.2,3350.660000
301,22272.0,39.0,98.5,120.0,3356.820000
302,22344.0,70.0,98.5,119.4,3367.870000
303,22360.0,14.0,98.5,119.3,3370.310000
304,22446.0,84.0,98.5,119.3,3383.200000
305,22526.0,78.0,98.5,117.2,3395.230000
306,22565.0,37.0,98.5,117.3,3401.280000
307,22583.0,16.0,98.49,117.2,3404.000000
308,22604.0,19.0,98.49,117.1,3407.140000
309,22755.0,149.0,98.49,117.6,3429.870000
310,22774.0,17.0,98.49,117.4,3432.810000
311,22810.0,34.0,98.49,116.6,3438.210000
312,22926.0,114.0,98.49,116.6,3455.700000
313,22962.0,34.0,98.49,114.4,3461.110000
314,22989.0,25.0,98.48,111.8,3465.180000
315,22998.0,7.0,98.48,105.4,3466.570000
316,23013.0,13.0,98.48,101.1,3468.850000
317,23026.0,11.0,98.47,101.1,3470.830000
318,23096.0,68.0,98.47,101.4,3481.470000
319,23123.0,25.0,98.47,101.5,3485.570000
320,23176.0,51.0,98.47,101.4,3493.740000
321,23550.0,372.0,98.49,103.5,3550.050000
322,23587.0,35.0,98.49,102.2,3555.640000
323,24378.0,789.0,98.53,109.4,3674.420000
324,24507.0,127.0,98.54,110.6,3693.840000
325,24571.0,62.0,98.54,110.8,3703.590000
326,24851.0,278.0,98.55,113.4,3745.670000
327,25056.0,203.0,98.56,115.3,3776.690000
328,25086.0,28.0,98.56,115.5,3781.160000
329,25271.0,183.0,98.56,116.7,3808.870000
330,25279.0,6.0,98.56,116.1,3810.100000
331,25383.0,102.0,98.56,116.7,3825.780000
332,25477.0,92.0,98.56,116.4,3839.870000
333,25706.0,227.0,98.57,118.6,3874.310000
334,25792.0,84.0,98.57,117.8,3887.210000
335,25833.0,39.0,98.57,116.5,3893.370000
336,25862.0,27.0,98.57,116.5,3897.800000
337,25879.0,15.0,98.56,115.7,3900.390000
338,26045.0,164.0,98.57,116.8,3925.230000
339,26132.0,85.0,98.57,116.6,3938.340000
340,26537.0,403.0,98.59,116.7,3999.320000
341,26564.0,25.0,98.59,114.2,4003.680000
342,26591.0,25.0,98.58,112.6,4007.760000
343,26687.0,94.0,98.58,109.6,4022.220000
344,26762.0,73.0,98.58,103.9,4033.440000
345,26924.0,160.0,98.59,103.5,4057.700000
346,27002.0,76.0,98.59,100.2,4069.410000
347,27131.0,127.0,98.59,101.0,4088.670000
348,27392.0,259.0,98.6,102.5,4127.840000
349,27552.0,158.0,98.61,104.0,4151.770000
350,27586.0,32.0,98.6,102.9,4156.910000
351,27599.0,11.0,98.6,102.9,4158.870000
352,27625.0,24.0,98.6,102.4,4162.780000
353,27730.0,103.0,98.6,102.3,4178.550000
354,27801.0,69.0,98.6,102.9,4189.120000
355,28056.0,253.0,98.61,104.8,4227.390000
356,28080.0,22.0,98.6,104.3,4231.130000
357,28115.0,33.0,98.6,103.2,4236.370000
358,28235.0,118.0,98.6,104.0,4254.450000
359,28352.0,115.0,98.61,105.0,4271.970000
360,28380.0,26.0,98.6,104.2,4276.160000
361,28431.0,49.0,98.6,104.5,4283.790000
362,28475.0,42.0,98.6,104.5,4290.450000
363,28613.0,136.0,98.6,105.3,4311.350000
364,28626.0,11.0,98.6,103.7,4313.310000
365,28704.0,76.0,98.6,104.1,4324.910000
366,28785.0,79.0,98.6,104.7,4337.030000
367,28805.0,18.0,98.6,103.8,4340.030000
368,28845.0,38.0,98.59,100.2,4346.040000
369,28884.0,37.0,98.59,100.0,4351.950000
370,28897.0,11.0,98.59,100.0,4353.920000
371,28923.0,24.0,98.59,99.9,4357.810000
372,28952.0,27.0,98.58,98.5,4362.210000
373,29087.0,133.0,98.59,99.6,4382.460000
374,29107.0,18.0,98.58,99.6,4385.510000
375,29140.0,31.0,98.58,96.4,4390.510000
376,29248.0,106.0,98.58,97.3,4406.830000
377,29287.0,37.0,98.58,96.9,4412.830000
378,29301.0,12.0,98.58,95.4,4414.920000
379,29393.0,90.0,98.58,94.8,4428.620000
380,29433.0,38.0,98.58,92.7,4434.670000
381,29459.0,24.0,98.57,92.5,4438.540000
382,29590.0,129.0,98.58,87.3,4458.290000
383,29599.0,7.0,98.57,87.2,4459.680000
384,29653.0,52.0,98.57,86.5,4467.850000
385,29695.0,40.0,98.57,86.8,4474.320000
386,29712.0,15.0,98.57,83.2,4476.910000
387,29721.0,7.0,98.56,82.8,4478.310000
388,29775.0,52.0,98.56,80.8,4486.520000
389,29788.0,11.0,98.56,80.5,4488.480000
390,29997.0,207.0,98.57,82.5,4519.870000
391,30047.0,48.0,98.56,82.9,4527.470000
392,30156.0,107.0,98.57,82.0,4543.920000
393,30262.0,104.0,98.57,81.8,4559.850000
394,30670.0,406.0,98.58,85.4,4621.560000
395,30979.0,307.0,98.6,87.6,4668.160000
396,31069.0,88.0,98.6,88.1,4681.760000
397,31083.0,12.0,98.59,88.1,4683.920000
398,31262.0,177.0,98.6,89.6,4710.930000
399,31608.0,344.0,98.61,92.6,4762.810000
400,31656.0,46.0,98.61,92.2,4770.070000
401,31786.0,128.0,98.61,93.1,4789.540000
402,31857.0,69.0,98.61,93.1,4800.280000
403,32021.0,162.0,98.62,94.6,4825.040000
404,32303.0,280.0,98.63,96.6,4867.520000
405,32409.0,104.0,98.63,96.8,4883.480000
406,32481.0,70.0,98.63,97.2,4894.330000
407,32638.0,155.0,98.63,98.6,4918.370000
408,32825.0,185.0,98.63,100.2,4946.500000
409,32833.0,6.0,98.63,98.8,4947.750000
410,32850.0,15.0,98.63,98.8,4950.360000
411,32890.0,38.0,98.63,98.8,4956.400000
412,33459.0,567.0,98.65,103.3,5042.140000
413,33549.0,88.0,98.65,103.9,5055.810000
414,33621.0,70.0,98.65,104.3,5066.640000
415,33651.0,28.0,98.65,104.5,5071.250000
