,step,episode reward,accuracy,100 eps mean,time
344,21146.0,1259.0,98.16,115.0,2594.330000
345,21396.0,248.0,98.18,116.5,2625.550000
346,21427.0,29.0,98.17,116.6,2629.600000
347,21458.0,29.0,98.17,115.4,2633.440000
348,21469.0,9.0,98.17,115.2,2634.850000
349,21932.0,461.0,98.2,118.8,2692.440000
350,21940.0,6.0,98.2,118.5,2693.460000
351,21969.0,27.0,98.2,117.7,2697.050000
352,21980.0,9.0,98.19,114.4,2698.410000
353,22000.0,18.0,98.19,113.2,2700.860000
354,22014.0,12.0,98.18,113.2,2702.640000
355,22034.0,18.0,98.18,113.2,2705.120000
356,22138.0,102.0,98.18,114.0,2718.090000
357,22212.0,72.0,98.18,113.9,2727.230000
358,22263.0,49.0,98.18,112.2,2733.660000
359,22276.0,11.0,98.18,111.0,2735.250000
360,22291.0,13.0,98.17,110.7,2737.140000
361,22301.0,8.0,98.17,109.1,2738.400000
362,22319.0,16.0,98.16,108.1,2740.630000
363,22332.0,11.0,98.16,106.0,2742.240000
364,22352.0,18.0,98.16,105.7,2744.760000
365,22427.0,73.0,98.16,106.2,2753.950000
366,22472.0,43.0,98.16,105.1,2759.450000
367,22598.0,124.0,98.16,105.6,2774.860000
368,22711.0,111.0,98.17,104.2,2788.720000
369,22762.0,49.0,98.17,104.4,2795.130000
370,22833.0,69.0,98.17,104.9,2804.040000
371,23123.0,288.0,98.19,107.7,2839.980000
372,23164.0,39.0,98.19,105.1,2845.080000
373,23277.0,111.0,98.19,105.9,2859.100000
374,23322.0,43.0,98.19,105.8,2864.740000
375,23570.0,246.0,98.2,108.0,2895.250000
376,23592.0,20.0,98.2,107.4,2897.940000
377,23740.0,146.0,98.21,108.2,2916.290000
378,23784.0,42.0,98.21,107.5,2921.730000
379,23809.0,23.0,98.2,106.0,2924.890000
380,23829.0,18.0,98.2,105.6,2927.370000
381,23901.0,70.0,98.2,105.9,2936.190000
382,23923.0,20.0,98.2,103.7,2938.880000
383,23942.0,17.0,98.19,102.6,2941.260000
384,23969.0,25.0,98.19,102.8,2944.570000
385,24012.0,41.0,98.19,100.4,2949.850000
